@id,@type,id,reportType,dateImport,dateResult,ranking,description,category,channel,dateDiff,startTime,rLength,ratePerc,rateInK,shr,rateInKAll,live
/api/cim_tv_public_results_daily_views/19307,CimTvPublicResultsDailyView,19307,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,1,HET 7 UUR-JOURNAAL,,EEN,2016-10-01T00:00:00.000000,19:00:05,00:31:38,,721.850,,,0
/api/cim_tv_public_results_daily_views/19308,CimTvPublicResultsDailyView,19308,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,2,FC DE KAMPIOENEN,,EEN,2016-10-01T00:00:00.000000,20:41:00,00:38:39,,709.606,,,0
/api/cim_tv_public_results_daily_views/19309,CimTvPublicResultsDailyView,19309,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,3,WEG ZIJN WIJ,,EEN,2016-10-01T00:00:00.000000,20:13:36,00:24:44,,548.239,,,0
/api/cim_tv_public_results_daily_views/19310,CimTvPublicResultsDailyView,19310,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,4,IEDEREEN BEROEMD,,EEN,2016-10-01T00:00:00.000000,19:38:10,00:29:01,,523.610,,,0
/api/cim_tv_public_results_daily_views/19311,CimTvPublicResultsDailyView,19311,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,5,COMEDY TOPPERS,,VTM,2016-10-01T00:00:00.000000,19:52:06,00:24:40,,496.216,,,0
/api/cim_tv_public_results_daily_views/19312,CimTvPublicResultsDailyView,19312,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,6,THE FUGITIVE,,EEN,2016-10-01T00:00:00.000000,21:22:25,02:01:25,,447.427,,,0
/api/cim_tv_public_results_daily_views/19313,CimTvPublicResultsDailyView,19313,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,7,NIEUWS 19U VTM,,VTM,2016-10-01T00:00:00.000000,18:59:49,00:42:27,,424.041,,,0
/api/cim_tv_public_results_daily_views/19314,CimTvPublicResultsDailyView,19314,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,8,HET 1 UUR-JOURNAAL,,EEN,2016-10-01T00:00:00.000000,13:00:05,00:22:48,,369.066,,,0
/api/cim_tv_public_results_daily_views/19315,CimTvPublicResultsDailyView,19315,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,9,WIELRENNEN. RONDE VAN LOMBARDIJE,,EEN,2016-10-01T00:00:00.000000,14:29:41,02:55:50,,368.549,,,0
/api/cim_tv_public_results_daily_views/19316,CimTvPublicResultsDailyView,19316,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,10,STADION,,VTM,2016-10-01T00:00:00.000000,22:57:22,00:44:50,,360.544,,,0
/api/cim_tv_public_results_daily_views/19317,CimTvPublicResultsDailyView,19317,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,11,DAWN OF THE PLANET OF THE APES,,VTM,2016-10-01T00:00:00.000000,20:32:14,01:55:48,,358.398,,,0
/api/cim_tv_public_results_daily_views/19318,CimTvPublicResultsDailyView,19318,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,12,"MASTERCHEF, THE PROFESSIONALS",,EEN,2016-10-01T00:00:00.000000,18:12:41,00:43:56,,301.678,,,0
/api/cim_tv_public_results_daily_views/19319,CimTvPublicResultsDailyView,19319,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,13,HET JOURNAAL LAAT,,EEN,2016-10-01T00:00:00.000000,23:24:38,00:16:34,,284.587,,,0
/api/cim_tv_public_results_daily_views/19320,CimTvPublicResultsDailyView,19320,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,14,GOLF. RYDER CUP,,EEN,2016-10-01T00:00:00.000000,17:25:46,00:29:11,,261.841,,,0
/api/cim_tv_public_results_daily_views/19321,CimTvPublicResultsDailyView,19321,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,15,NIEUWS 13U VTM,,VTM,2016-10-01T00:00:00.000000,12:59:49,00:26:55,,189.154,,,0
/api/cim_tv_public_results_daily_views/19322,CimTvPublicResultsDailyView,19322,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,16,VILLA POLITICA,,EEN,2016-10-01T00:00:00.000000,13:29:29,00:32:14,,188.168,,,0
/api/cim_tv_public_results_daily_views/19323,CimTvPublicResultsDailyView,19323,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,17,LITTLE BIG SHOTS MET NATHALIE MESKENS,,VTM,2016-10-01T00:00:00.000000,17:39:10,01:00:09,,172.914,,,0
/api/cim_tv_public_results_daily_views/19324,CimTvPublicResultsDailyView,19324,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,18,THE BRIDGE,,CANVAS,2016-10-01T00:00:00.000000,20:34:54,00:58:17,,161.935,,,0
/api/cim_tv_public_results_daily_views/19325,CimTvPublicResultsDailyView,19325,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,19,DE VRIJE MARKT,,EEN,2016-10-01T00:00:00.000000,12:31:36,00:27:43,,159.451,,,0
/api/cim_tv_public_results_daily_views/19326,CimTvPublicResultsDailyView,19326,north,2016-10-27T00:00:00.000000,2016-10-01T00:00:00.000000,20,MOUNTAINBIKE. WB. FIN TRIAL ANTWERPEN,,EEN,2016-10-01T00:00:00.000000,14:03:25,00:26:07,,144.513,,,0
/api/cim_tv_public_results_daily_views/19327,CimTvPublicResultsDailyView,19327,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,1,SORRY VOOR ALLES,,EEN,2016-10-02T00:00:00.000000,20:35:02,01:04:21,,1.266.482,,,0
/api/cim_tv_public_results_daily_views/19328,CimTvPublicResultsDailyView,19328,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,2,THE SECRET LIFE OF THE ZOO,,EEN,2016-10-02T00:00:00.000000,20:03:00,00:29:29,,946.917,,,0
/api/cim_tv_public_results_daily_views/19329,CimTvPublicResultsDailyView,19329,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,3,HET 7 UUR-JOURNAAL,,EEN,2016-10-02T00:00:00.000000,19:00:05,00:24:33,,941.240,,,0
/api/cim_tv_public_results_daily_views/19330,CimTvPublicResultsDailyView,19330,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,4,SPORTWEEKEND,,EEN,2016-10-02T00:00:00.000000,19:24:38,00:32:31,,921.902,,,0
/api/cim_tv_public_results_daily_views/19331,CimTvPublicResultsDailyView,19331,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,5,PROFESSOR T.,,EEN,2016-10-02T00:00:00.000000,21:42:04,00:51:40,,873.848,,,0
/api/cim_tv_public_results_daily_views/19332,CimTvPublicResultsDailyView,19332,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,6,DE KOTMADAM,,VTM,2016-10-02T00:00:00.000000,19:56:29,00:29:30,,550.098,,,0
/api/cim_tv_public_results_daily_views/19333,CimTvPublicResultsDailyView,19333,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,7,HET 1 UUR-JOURNAAL,,EEN,2016-10-02T00:00:00.000000,13:00:05,00:30:20,,512.173,,,0
/api/cim_tv_public_results_daily_views/19334,CimTvPublicResultsDailyView,19334,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,8,NIEUWS 19U VTM,,VTM,2016-10-02T00:00:00.000000,18:59:49,00:45:42,,505.759,,,0
/api/cim_tv_public_results_daily_views/19335,CimTvPublicResultsDailyView,19335,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,9,VELDRIJDEN. GIETEN,,EEN,2016-10-02T00:00:00.000000,17:26:16,00:31:12,,459.224,,,0
/api/cim_tv_public_results_daily_views/19336,CimTvPublicResultsDailyView,19336,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,10,ROYALTY,,VTM,2016-10-02T00:00:00.000000,18:21:29,00:24:21,,441.062,,,0
/api/cim_tv_public_results_daily_views/19337,CimTvPublicResultsDailyView,19337,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,11,DAGELIJKSE KOST,,EEN,2016-10-02T00:00:00.000000,18:12:03,00:45:17,,421.367,,,0
/api/cim_tv_public_results_daily_views/19338,CimTvPublicResultsDailyView,19338,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,12,FRITS & FRANKY,,VTM,2016-10-02T00:00:00.000000,20:41:02,01:32:28,,351.730,,,0
/api/cim_tv_public_results_daily_views/19339,CimTvPublicResultsDailyView,19339,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,13,SUR LES ROUTES D'USHUAIA,,EEN,2016-10-02T00:00:00.000000,13:35:26,00:25:34,,332.332,,,0
/api/cim_tv_public_results_daily_views/19340,CimTvPublicResultsDailyView,19340,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,14,STADION,,VTM,2016-10-02T00:00:00.000000,22:39:22,00:52:26,,306.207,,,0
/api/cim_tv_public_results_daily_views/19341,CimTvPublicResultsDailyView,19341,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,15,DE ZEVENDE DAG,,EEN,2016-10-02T00:00:00.000000,11:00:04,01:57:47,,302.381,,,0
/api/cim_tv_public_results_daily_views/19342,CimTvPublicResultsDailyView,19342,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,16,NAVY NCIS,,VIER,2016-10-02T00:00:00.000000,20:29:52,00:38:42,,265.580,,,0
/api/cim_tv_public_results_daily_views/19343,CimTvPublicResultsDailyView,19343,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,17,NIEUWS 13U VTM,,VTM,2016-10-02T00:00:00.000000,12:59:49,00:37:21,,258.004,,,0
/api/cim_tv_public_results_daily_views/19344,CimTvPublicResultsDailyView,19344,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,18,"NCIS, NEW ORLEANS",,VIER,2016-10-02T00:00:00.000000,21:21:38,00:40:25,,256.508,,,0
/api/cim_tv_public_results_daily_views/19345,CimTvPublicResultsDailyView,19345,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,19,SPORZA,,EEN,2016-10-02T00:00:00.000000,15:50:08,00:33:45,,232.366,,,0
/api/cim_tv_public_results_daily_views/19346,CimTvPublicResultsDailyView,19346,north,2016-10-27T00:00:00.000000,2016-10-02T00:00:00.000000,20,KARAKTERS,,EEN,2016-10-02T00:00:00.000000,22:36:05,00:50:42,,210.464,,,0
/api/cim_tv_public_results_daily_views/19347,CimTvPublicResultsDailyView,19347,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,1,THUIS,,EEN,2016-10-03T00:00:00.000000,20:14:23,00:25:30,,1.268.561,,,0
/api/cim_tv_public_results_daily_views/19348,CimTvPublicResultsDailyView,19348,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,2,IEDEREEN BEROEMD,,EEN,2016-10-03T00:00:00.000000,19:47:08,00:20:53,,1.111.170,,,0
/api/cim_tv_public_results_daily_views/19349,CimTvPublicResultsDailyView,19349,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,3,HET 7 UUR-JOURNAAL,,EEN,2016-10-03T00:00:00.000000,19:00:05,00:44:43,,1.077.321,,,0
/api/cim_tv_public_results_daily_views/19350,CimTvPublicResultsDailyView,19350,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,4,SPOED 24/7,,EEN,2016-10-03T00:00:00.000000,20:41:32,00:46:33,,1.063.322,,,0
/api/cim_tv_public_results_daily_views/19351,CimTvPublicResultsDailyView,19351,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,5,BLOKKEN,,EEN,2016-10-03T00:00:00.000000,18:32:01,00:26:51,,754.051,,,0
/api/cim_tv_public_results_daily_views/19352,CimTvPublicResultsDailyView,19352,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,6,FAMILIE,,VTM,2016-10-03T00:00:00.000000,20:03:50,00:25:28,,697.830,,,0
/api/cim_tv_public_results_daily_views/19353,CimTvPublicResultsDailyView,19353,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,7,"BUURMAN, WAT DOET U NU?",,EEN,2016-10-03T00:00:00.000000,21:31:20,00:28:33,,623.697,,,0
/api/cim_tv_public_results_daily_views/19354,CimTvPublicResultsDailyView,19354,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,8,NIEUWS 19U VTM,,VTM,2016-10-03T00:00:00.000000,18:59:49,00:52:10,,611.342,,,0
/api/cim_tv_public_results_daily_views/19355,CimTvPublicResultsDailyView,19355,north,2016-10-27T00:00:00.000000,2016-10-03T00:00:00.000000,9,AXEL OPGELICHT,,VTM,2016-10-03T00:00:00.000000,20:40:01,00:40:26,,571.138,,,0
